
running 1 test
251 0.190228928 0.014996588 0.002381475
221 0.132493962 0.009820838 0.002290064
139 0.031261595 0.003242883 0.000497616
16 0.000052934 0.000025693 0.000004929
252 0.180547946 0.015020276 0.002545157
92 0.011536974 0.001253944 0.000131168
237 0.167026875 0.013976227 0.001980707
6 0.000007981 0.000004431 0.000001742
50 0.001250349 0.000316033 0.000028899
232 0.151729682 0.011365710 0.001990193
35 0.000448407 0.000143566 0.000014939
129 0.038363537 0.004040628 0.000414826
130 0.026743743 0.004274025 0.000523241
95 0.013107497 0.002193008 0.000155075
178 0.061601398 0.008170156 0.000909984
189 0.081375141 0.006827750 0.001541036
4 0.000003875 0.000001553 0.000000891
161 0.051721791 0.004896905 0.000876061
183 0.066349800 0.006059173 0.000964247
214 0.115685876 0.009740843 0.001717238
219 0.128185922 0.009967429 0.002107292
120 0.022578308 0.002292214 0.000266059
151 0.046014322 0.004950578 0.000564000
168 0.054368529 0.007660193 0.000950974
171 0.052051621 0.007310258 0.000862597
30 0.000549720 0.000166669 0.000015954
104 0.019346192 0.001723035 0.000155631
127 0.030352454 0.002658670 0.000314340
192 0.088886483 0.008883361 0.001327489
13 0.000037947 0.000018191 0.000004904
38 0.000825982 0.000234117 0.000025094
52 0.001563410 0.000358495 0.000032556
165 0.064411437 0.005402598 0.000903556
128 0.038265334 0.002731289 0.000383949
198 0.091193679 0.007933018 0.001233415
105 0.014658538 0.001679715 0.000201939
247 0.200763024 0.014252679 0.002587643
210 0.115102637 0.010763340 0.001516423
106 0.014306676 0.001723884 0.000188215
224 0.146169774 0.011113508 0.001683944
204 0.092329763 0.009780393 0.001194503
80 0.007385155 0.001456652 0.000111838
208 0.113188915 0.010989029 0.001871633
56 0.002668281 0.000620627 0.000043890
255 0.236291100 0.018777777 0.003699708
234 0.157038238 0.012459577 0.002536755
98 0.009837143 0.001606787 0.000158024
110 0.020849953 0.003145397 0.000301758
91 0.007766256 0.001796308 0.000210913
141 0.043207597 0.004479542 0.000675239
23 0.000265287 0.000093508 0.000009733
17 0.000113308 0.000049014 0.000007768
74 0.007269391 0.000827603 0.000077343
254 0.210652811 0.018251803 0.003774441
